TradeId,ProductDescription,TradeTag_ECD Id,Currency,Today_CurrentNotional,Today_MTM,LastBusinessDate_MTM,LTDPLChange,ResidualPL,EstimatedPL,CorrEffect,Today_Total_CSGammaEffect,Total_CSDeltaEffect,Today_Total_IRDelta,LastBusinessDate_CashflowEffect,Today_CashflowEffect,CashflowEffect,Today_1%bumping_BaseCorrSurface,LastBusinessDate_1%bumping_BaseCorrSurface,Today_RiskReserve,LastBusinessDate_RiskReserve,Today_Total_CSDeltaEffect 1,LastBusinessDate_Total_CSDeltaEffect 2
CDO0000639,ACA 3,1823,USD,,,,113581.076527778,113581.076527778,,,,,,,,,,,,,,
CDO0000640,ACA 3 BA,1882,USD,,,,-137464.804722223,-137464.804722223,,,,,,,,,,,,,,
CDO0000646,Athilon 4,2591,USD,-800000000.064,8378634.52840322,8613095.57901528,-234461.050612057,4624.59377990445,-239085.644391961,-421478.558412765,-8762.66735840527,-134667.725769412,-1602.74254137557,0,0,0,312450.98845573,327032.20651737,-2644155.46818227,-2691499.82749305,-134667.725769412,483288.67902043
CDO0000661,Nereus Dresdner,2602,USD,394013676,-1640032.35094955,-1708112.42452157,68080.0735720119,-1197.4563635896,69277.5299356015,174355.963183591,2225.06146109936,46381.8335220606,330.260786621179,0,0,0,-88589.3777005038,-90666.5273291838,667817.897234733,682142.705289505,46381.8335220606,-67177.6915921889
CDX0000726,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,2623,USD,33740000,77010.4552537743,77004.6476311002,1779.19488905362,-10.2928898217506,1789.48777887537,0,14.5048975568543,741.682325461947,2.86547049516666,0,0,0,,,-366.270718322296,-367.386647848994,741.682325461947,-2921.67192567629
CDO0000647,Athilon 5,2643,USD,-400000000,3160665.65301547,3301777.76424147,-141112.111226,5537.78249017676,-146649.893716177,-341320.297209926,-1706.9163742596,-97061.7685291153,-635.191466417396,0,0,0,135173.166069413,150071.16450876,-1119915.41543624,-1147827.979378,-97061.7685291153,179522.673541879
CDO0000659,Nereus 2 BNP,2743,USD,2200000000,-10852057.7860319,-11231053.1787204,378995.392688572,-7655.15639376472,386650.549082337,973247.968516762,12412.0219913669,258907.754045895,2079.57431280538,0,0,0,-494510.416381714,-506101.87471828,3727889.88872588,3807849.12426334,258907.754045895,-374978.904227926
CDO0000649,Athilon 6,3254,USD,-800000000,13114208.0522597,13377022.8388491,-262814.786589393,22101.2237439288,-284916.010333322,-379285.070316804,-6160.08796451088,-162331.23041884,-2893.12102191877,0,0,0,386391.960741615,388510.14915053,-3758518.33849731,-3807199.53530261,-162331.23041884,389347.088425489
CDO0000654,CDX6 7-10 7y ECD3449,3449,USD,10000000.012,-1409569.00758093,-1412486.68652881,2917.67894787434,-1373.3035517464,4290.98249962074,-2266.78948648797,-73.3402722679091,1919.17729388246,250.279379625386,0,0,0,565.081246576941,541.623167431419,269862.984402227,270248.315212001,1919.17729388246,-28115.5172505579
CDO0000653,CDX6 7-10 7y ECD3450,3450,USD,-10000000.012,4384193.06640789,4418678.42248325,-34485.3560753632,6532.91621908186,-41018.2722944451,6747.60638642297,3498.05648908406,-34048.1629015533,-1441.91367680132,0,0,0,-44051.9588961191,-44444.4555335901,-649849.116384952,-652254.698464688,-34048.1629015533,62006.5917301454
CDO0000655,CDX6 7-10 7y ECD3453,3453,USD,10000000.012,-4368995.21997772,-4403547.23944797,34552.0194702456,-6505.81151548669,41057.8309857323,-6753.57343471291,-3498.15974670753,34075.0368626726,1437.82385072941,0,0,0,44066.5036430116,44459.2344717308,650430.023678808,652838.973491691,34075.0368626726,-62066.7568576571
CDO0000657,GNT LSS 1 - CDX7 30-60,3815,CAD,-4941750000,103965701.266195,103287010.493306,678690.772888601,364982.296560301,313708.4763283,-918420.349231633,-19611.5985288767,-678858.077132879,-46660.6653614447,0,0,0,4080600.68593955,4051803.71291355,-26333592.7203392,-26281762.4942783,-678858.077132879,2233572.4678395
CDO0000658,GNT LSS 1 - GS,3816,CAD,4941750000,-98045587.8169643,-97384702.9714362,-660884.845528066,-347499.644343172,-313385.201184894,918860.642162519,19647.2826078675,679149.703180519,44771.4230500698,0,0,0,-4082572.44813297,-4053770.19195485,26344279.0327313,26292418.6998632,679149.703180519,-2234581.50560699
CDO0000651,Athilon 7,3930,USD,-799999999.998,33697147.6751685,34614447.3930751,-917299.717906639,49336.8872556273,-966636.605162266,-1752841.18089943,-7430.31452403619,-462784.990121088,-7692.52733083367,0,0,0,862769.515380326,866923.839354828,-8596029.97166468,-8746787.21453032,-462784.990121088,744674.154791606
CDO0000671,CDX7 0-3 10y Zero ECD4272,4272,USD,-156000.004144001,-17478.3253471277,-16403.2034979519,-1075.12184917583,564.184110795602,-1639.30595997144,-146.000378712076,369.108761104174,-1146.40960453847,4.20582950816024,0,0,0,-3324.76420206378,-3251.06647972573,-21723.7511617125,-21560.470789504,-1146.40960453847,1591.85980558604
CDO0000672,CDX7 0-3 10y Zero ECD4273,4273,USD,-208000.005712001,-23304.4338170846,-21870.938016897,-1433.49580018764,752.24548784633,-2185.74128803397,-194.667171790805,492.14500913415,-1528.54614075385,5.60777268258098,0,0,0,-4433.01894006325,-4334.7553101911,-28965.0015749441,-28747.2944118043,-1528.54614075385,2122.47974269102
CDO0000673,CDX7 0-3 10y Zero ECD4280,4280,USD,-84000.0014990773,-9411.40587409756,-8832.49411420363,-578.911759893934,303.791442027323,-882.703201921257,-78.615587851905,198.750869228559,-617.297473984014,2.26467740772932,0,0,0,-1790.25763165767,-1750.57424305244,-11697.4043697139,-11609.4841700605,-617.297473984014,857.155272460259
CDX0000727,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,8111,USD,-33740000,-77010.4552537743,-77004.6476311002,-1779.19488905362,10.2928898217506,-1789.48777887537,0,-14.5048975568543,-741.682325461947,-2.86547049516666,0,0,0,,,366.270718322296,367.386647848994,-741.682325461947,2921.67192567629
CDO0000656,CDX6 7-10 7y ECD8112,8112,USD,-10000000.012,1413117.83816953,1416031.02685873,-2913.1886892016,1375.5116034493,-4288.70029265091,2266.60135604598,73.4263692972792,-1917.63865107366,-250.802612569276,0,0,0,-566.509082711273,-543.082884607808,-269824.615692193,-270209.620058982,-1917.63865107366,28110.6786220765
CDO0000652,Athilon 7 offset,8117,USD,799999999.998,-32593697.8855473,-33512474.1219808,918776.236433461,-48406.7064829937,967182.942916455,1753975.83596525,7441.19601165858,462989.042667599,7498.90305663683,0,0,0,-863275.147388201,-867437.140348706,8599614.60934147,8750461.64981667,462989.042667599,-744922.030067894
CDO0000674,CDX7 0-3 10y Zero ECD8268,8268,USD,448000.011355079,50194.1650383099,47106.6356290525,3087.5294092574,-1620.22103972484,4707.75044898225,419.283138354789,-1060.00464042278,3292.25321928777,-12.0782795984705,0,0,0,9548.04077378479,9336.39603296928,62386.1571063705,61917.249371369,3292.25321928777,-4571.49482073594
CDO0000662,Nereus Mav1,8269,USD,-1239557306.4,5843113.05434656,6058648.52401575,-215535.469669188,4236.77100881073,-219772.240677999,-561445.221371508,-7007.65193809472,-146039.160438066,-1134.0302513862,0,0,0,282077.963210636,289904.944596921,-2096871.56265176,-2142046.84139496,-146039.160438066,210455.864460991
CDO0000660,Nereus 2 Mav1,8271,USD,-1358576368.8,7076979.88762442,7312759.75840493,-235779.870780518,5028.30327977979,-240808.174060298,-615240.250052751,-7675.8370620992,-160034.218880113,-1336.42407514434,0,0,0,309108.393238709,317684.381397192,-2297845.83879552,-2347349.00531839,-160034.218880113,230618.946667848
