FromDate,ToDate,Status,Saved,MarketSet,QuoteType,Source,Name,Value
16-Jun-2010,17-Jun-2010,Insert,True,Closing,CDX Spread,Next,CDX-NAIGS5V5-5Y (CIBC).Mid,1E-12
16-Jun-2010,17-Jun-2010,Insert,True,Closing,CDX Spread,Next,CDX-NAIGS7V4-10Y.Mid,0.0144
16-Jun-2010,17-Jun-2010,Insert,True,Closing,CDX Spread,Next,CDX-NAIGS7V4-3Y.Mid,0.021
16-Jun-2010,17-Jun-2010,Insert,True,Closing,CDX Spread,Next,CDX-NAIGS7V4-5Y.Mid,0.0138
16-Jun-2010,17-Jun-2010,Insert,True,Closing,CDX Spread,Next,CDX-NAIGS7V4-7Y.Mid,0.0142
16-Jun-2010,17-Jun-2010,Insert,True,Closing,CDX Spread,Next,CDX-NAIGS7V5-10Y.Mid,0.0157
16-Jun-2010,17-Jun-2010,Insert,True,Closing,CDX Spread,Next,CDX-NAIGS9V3-10Y.Mid,0.0147
16-Jun-2010,17-Jun-2010,Insert,True,Closing,CDX Spread,Next,CDX-NAIGS9V3-3Y.Mid,0.0211
16-Jun-2010,17-Jun-2010,Insert,True,Closing,CDX Spread,Next,CDX-NAIGS9V3-5Y.Mid,0.0133
16-Jun-2010,17-Jun-2010,Insert,True,Closing,CDX Spread,Next,CDX-NAIGS9V3-7Y.Mid,0.0141
16-Jun-2010,17-Jun-2010,Insert,True,Closing,CDX Spread,Next,Dow Jones CDX.NA.IG.7-V5,0.0157
16-Jun-2010,17-Jun-2010,Insert,True,Closing,CDX Spread,Next,ITRAXX-EUROPES5V1-10Y.Mid,0.0106
16-Jun-2010,17-Jun-2010,Insert,True,Closing,CDX Spread,Next,ITRAXX-EUROPES5V1-3Y.Mid,0.0055
16-Jun-2010,17-Jun-2010,Insert,True,Closing,CDX Spread,Next,ITRAXX-EUROPES5V1-5Y.Mid,0.0085
16-Jun-2010,17-Jun-2010,Insert,True,Closing,CDX Spread,Next,ITRAXX-EUROPES5V1-7Y.Mid,0.01
