Tenor, CurveName, CurveDate, MarketSet, Type, Label, Maturity Date, Calculated Yield, SortOrder
1D,EUR_EUR        ,24-Nov-09,CLOSE,mm,mm_0_1,26-Nov-09,0.0081283000000000,0
1W,EUR_EUR        ,24-Nov-09,CLOSE,mm,mm_2_20091203,03-Dec-09,0.0081286000000000,1
STUB,EUR_EUR        ,24-Nov-09,CLOSE,mm,mm_2_20091216,16-Dec-09,0.0081291000000000,2
FUT1,EUR_EUR        ,24-Nov-09,CLOSE,fut,fut_1_103,17-Mar-10,0.0095978000000000,3
FUT2,EUR_EUR        ,24-Nov-09,CLOSE,fut,fut_2_103,17-Jun-10,0.0106968000000000,4
FUT3,EUR_EUR        ,24-Nov-09,CLOSE,fut,fut_3_103,16-Sep-10,0.0135571000000000,5
FUT4,EUR_EUR        ,24-Nov-09,CLOSE,fut,fut_4_103,15-Dec-10,0.0165215000000000,6
FUT5,EUR_EUR        ,24-Nov-09,CLOSE,fut,fut_5_103,16-Mar-11,0.0191453000000000,7
FUT6,EUR_EUR        ,24-Nov-09,CLOSE,fut,fut_6_103,16-Jun-11,0.0216535000000000,8
FUT7,EUR_EUR        ,24-Nov-09,CLOSE,fut,fut_7_103,21-Sep-11,0.0239761000000000,9
FUT8,EUR_EUR        ,24-Nov-09,CLOSE,fut,fut_8_103,21-Dec-11,0.0258367000000000,10
FUT9,EUR_EUR        ,24-Nov-09,CLOSE,fut,fut_9_103,21-Mar-12,0.0275233000000000,11
FUT10,EUR_EUR        ,24-Nov-09,CLOSE,fut,fut_10_103,21-Jun-12,0.0289359000000000,12
FUT11,EUR_EUR        ,24-Nov-09,CLOSE,fut,fut_11_103,20-Sep-12,0.0303858000000000,13
FUT12,EUR_EUR        ,24-Nov-09,CLOSE,fut,fut_12_103,19-Dec-12,0.0316146000000000,14
4Y,EUR_EUR        ,24-Nov-09,CLOSE,swap,swap_2_1004,26-Nov-13,0.0247300000000000,15
5Y,EUR_EUR        ,24-Nov-09,CLOSE,swap,swap_2_1005,26-Nov-14,0.0272600000000000,16
6Y,EUR_EUR        ,24-Nov-09,CLOSE,swap,swap_2_1006,26-Nov-15,0.0293300000000000,17
7Y,EUR_EUR        ,24-Nov-09,CLOSE,swap,swap_2_1007,28-Nov-16,0.0310525000000000,18
8Y,EUR_EUR        ,24-Nov-09,CLOSE,swap,swap_2_1008,27-Nov-17,0.0324369000000000,19
9Y,EUR_EUR        ,24-Nov-09,CLOSE,swap,swap_2_1009,26-Nov-18,0.0336000000000000,20
10Y,EUR_EUR        ,24-Nov-09,CLOSE,swap,swap_2_1010,26-Nov-19,0.0346200000000000,21
11Y,EUR_EUR        ,24-Nov-09,CLOSE,swap,swap_2_1011,26-Nov-20,0.0355900000000000,22
12Y,EUR_EUR        ,24-Nov-09,CLOSE,swap,swap_2_1012,26-Nov-21,0.0364800000000000,23
15Y,EUR_EUR        ,24-Nov-09,CLOSE,swap,swap_2_1015,26-Nov-24,0.0384600000000000,24
20Y,EUR_EUR        ,24-Nov-09,CLOSE,swap,swap_2_1020,26-Nov-29,0.0397100000000000,25
