Date,RiskRun Number,Name,Calc Env,Config,Status,Started,Completed,User,Trades,Tasks,Error Number,Error Description
02-Nov-2010,1,Official,Official,POC_Detailed,Error,11/3/2010 2:06:44 AM,11/3/2010 2:56:48 AM,wongto,24,44,1,"Unable to calculate [ImpliedDetachmentPoint] for [CDOPricer] [System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation. ---> Quantifi.Numerics.SolverException: Cannot bracket a solution
   at Quantifi.Numerics.Solver.solve(SolverFn fn, Double yTarget)
   at Quantifi.Numerics.Solver.solve(SolverFn fn, Double yTarget, Double xInitial)
   at Quantifi.Pricers.SyntheticCDOSolver.Solve()
   at Quantifi.Risk.CDOPricerBase.get_ImpliedDetachmentPoint()
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle._InvokeMethodFast(Object target, Object[] arguments, SignatureStruct& sig, MethodAttributes methodAttributes, RuntimeTypeHandle typeOwner)
   at System.RuntimeMethodHandle.InvokeMethodFast(Object target, Object[] arguments, Signature sig, MethodAttributes methodAttributes, RuntimeTypeHandle typeOwner)
   at System.Reflection.RuntimeMethodInfo.Invoke(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo cul..."
02-Nov-2010,1,Official,Official,POC_Detailed,Error,11/3/2010 2:06:44 AM,11/3/2010 2:56:48 AM,wongto,24,44,2,"Unable to calculate [ImpliedDetachmentPoint] for [CDOPricer] [System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation. ---> Quantifi.Numerics.SolverException: Cannot bracket a solution
   at Quantifi.Numerics.Solver.solve(SolverFn fn, Double yTarget)
   at Quantifi.Numerics.Solver.solve(SolverFn fn, Double yTarget, Double xInitial)
   at Quantifi.Pricers.SyntheticCDOSolver.Solve()
   at Quantifi.Risk.CDOPricerBase.get_ImpliedDetachmentPoint()
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle._InvokeMethodFast(Object target, Object[] arguments, SignatureStruct& sig, MethodAttributes methodAttributes, RuntimeTypeHandle typeOwner)
   at System.RuntimeMethodHandle.InvokeMethodFast(Object target, Object[] arguments, Signature sig, MethodAttributes methodAttributes, RuntimeTypeHandle typeOwner)
   at System.Reflection.RuntimeMethodInfo.Invoke(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo cul..."
02-Nov-2010,1,Official,Official,POC_Detailed,Error,11/3/2010 2:06:44 AM,11/3/2010 2:56:48 AM,wongto,24,44,3,"Unable to calculate [ImpliedDetachmentPoint] for [CDOPricer] [System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation. ---> Quantifi.Numerics.SolverException: Cannot bracket a solution
   at Quantifi.Numerics.Solver.solve(SolverFn fn, Double yTarget)
   at Quantifi.Numerics.Solver.solve(SolverFn fn, Double yTarget, Double xInitial)
   at Quantifi.Pricers.SyntheticCDOSolver.Solve()
   at Quantifi.Risk.CDOPricerBase.get_ImpliedDetachmentPoint()
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle._InvokeMethodFast(Object target, Object[] arguments, SignatureStruct& sig, MethodAttributes methodAttributes, RuntimeTypeHandle typeOwner)
   at System.RuntimeMethodHandle.InvokeMethodFast(Object target, Object[] arguments, Signature sig, MethodAttributes methodAttributes, RuntimeTypeHandle typeOwner)
   at System.Reflection.RuntimeMethodInfo.Invoke(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo cul..."
02-Nov-2010,1,Official,Official,POC_Detailed,Error,11/3/2010 2:06:44 AM,11/3/2010 2:56:48 AM,wongto,24,44,4,"Unable to calculate [ImpliedDetachmentPoint] for [CDOPricer] [System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation. ---> Quantifi.Numerics.SolverException: Cannot bracket a solution
   at Quantifi.Numerics.Solver.solve(SolverFn fn, Double yTarget)
   at Quantifi.Numerics.Solver.solve(SolverFn fn, Double yTarget, Double xInitial)
   at Quantifi.Pricers.SyntheticCDOSolver.Solve()
   at Quantifi.Risk.CDOPricerBase.get_ImpliedDetachmentPoint()
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle._InvokeMethodFast(Object target, Object[] arguments, SignatureStruct& sig, MethodAttributes methodAttributes, RuntimeTypeHandle typeOwner)
   at System.RuntimeMethodHandle.InvokeMethodFast(Object target, Object[] arguments, Signature sig, MethodAttributes methodAttributes, RuntimeTypeHandle typeOwner)
   at System.Reflection.RuntimeMethodInfo.Invoke(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo cul..."
02-Nov-2010,1,Official,Official,POC_Detailed,Error,11/3/2010 2:06:44 AM,11/3/2010 2:56:48 AM,wongto,24,44,5,"Unable to calculate [ImpliedDetachmentPoint] for [CDOPricer] [System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation. ---> Quantifi.Numerics.SolverException: Cannot bracket a solution
   at Quantifi.Numerics.Solver.solve(SolverFn fn, Double yTarget)
   at Quantifi.Numerics.Solver.solve(SolverFn fn, Double yTarget, Double xInitial)
   at Quantifi.Pricers.SyntheticCDOSolver.Solve()
   at Quantifi.Risk.CDOPricerBase.get_ImpliedDetachmentPoint()
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle._InvokeMethodFast(Object target, Object[] arguments, SignatureStruct& sig, MethodAttributes methodAttributes, RuntimeTypeHandle typeOwner)
   at System.RuntimeMethodHandle.InvokeMethodFast(Object target, Object[] arguments, Signature sig, MethodAttributes methodAttributes, RuntimeTypeHandle typeOwner)
   at System.Reflection.RuntimeMethodInfo.Invoke(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo cul..."
02-Nov-2010,1,Official,Official,POC_Detailed,Error,11/3/2010 2:06:44 AM,11/3/2010 2:56:48 AM,wongto,24,44,6,"Unable to calculate [ImpliedDetachmentPoint] for [CDOPricer] [System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation. ---> Quantifi.Numerics.SolverException: Cannot bracket a solution
   at Quantifi.Numerics.Solver.solve(SolverFn fn, Double yTarget)
   at Quantifi.Numerics.Solver.solve(SolverFn fn, Double yTarget, Double xInitial)
   at Quantifi.Pricers.SyntheticCDOSolver.Solve()
   at Quantifi.Risk.CDOPricerBase.get_ImpliedDetachmentPoint()
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle._InvokeMethodFast(Object target, Object[] arguments, SignatureStruct& sig, MethodAttributes methodAttributes, RuntimeTypeHandle typeOwner)
   at System.RuntimeMethodHandle.InvokeMethodFast(Object target, Object[] arguments, Signature sig, MethodAttributes methodAttributes, RuntimeTypeHandle typeOwner)
   at System.Reflection.RuntimeMethodInfo.Invoke(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo cul..."
02-Nov-2010,1,Official,Official,POC_Detailed,Error,11/3/2010 2:06:44 AM,11/3/2010 2:56:48 AM,wongto,24,44,7,"Unable to calculate [ImpliedDetachmentPoint] for [CDOPricer] [System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation. ---> Quantifi.Numerics.SolverException: Cannot bracket a solution
   at Quantifi.Numerics.Solver.solve(SolverFn fn, Double yTarget)
   at Quantifi.Numerics.Solver.solve(SolverFn fn, Double yTarget, Double xInitial)
   at Quantifi.Pricers.SyntheticCDOSolver.Solve()
   at Quantifi.Risk.CDOPricerBase.get_ImpliedDetachmentPoint()
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle._InvokeMethodFast(Object target, Object[] arguments, SignatureStruct& sig, MethodAttributes methodAttributes, RuntimeTypeHandle typeOwner)
   at System.RuntimeMethodHandle.InvokeMethodFast(Object target, Object[] arguments, Signature sig, MethodAttributes methodAttributes, RuntimeTypeHandle typeOwner)
   at System.Reflection.RuntimeMethodInfo.Invoke(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo cul..."
02-Nov-2010,1,Official,Official,POC_Detailed,Error,11/3/2010 2:06:44 AM,11/3/2010 2:56:48 AM,wongto,24,44,8,"Unable to calculate [ImpliedDetachmentPoint] for [CDOPricer] [System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation. ---> Quantifi.Numerics.SolverException: Cannot bracket a solution
   at Quantifi.Numerics.Solver.solve(SolverFn fn, Double yTarget)
   at Quantifi.Numerics.Solver.solve(SolverFn fn, Double yTarget, Double xInitial)
   at Quantifi.Pricers.SyntheticCDOSolver.Solve()
   at Quantifi.Risk.CDOPricerBase.get_ImpliedDetachmentPoint()
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle._InvokeMethodFast(Object target, Object[] arguments, SignatureStruct& sig, MethodAttributes methodAttributes, RuntimeTypeHandle typeOwner)
   at System.RuntimeMethodHandle.InvokeMethodFast(Object target, Object[] arguments, Signature sig, MethodAttributes methodAttributes, RuntimeTypeHandle typeOwner)
   at System.Reflection.RuntimeMethodInfo.Invoke(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo cul..."
02-Nov-2010,1,Official,Official,POC_Detailed,Error,11/3/2010 2:06:44 AM,11/3/2010 2:56:48 AM,wongto,24,44,9,"Unable to calculate [ImpliedDetachmentPoint] for [CDOPricer] [System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation. ---> Quantifi.Numerics.SolverException: Cannot bracket a solution
   at Quantifi.Numerics.Solver.solve(SolverFn fn, Double yTarget)
   at Quantifi.Numerics.Solver.solve(SolverFn fn, Double yTarget, Double xInitial)
   at Quantifi.Pricers.SyntheticCDOSolver.Solve()
   at Quantifi.Risk.CDOPricerBase.get_ImpliedDetachmentPoint()
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle._InvokeMethodFast(Object target, Object[] arguments, SignatureStruct& sig, MethodAttributes methodAttributes, RuntimeTypeHandle typeOwner)
   at System.RuntimeMethodHandle.InvokeMethodFast(Object target, Object[] arguments, Signature sig, MethodAttributes methodAttributes, RuntimeTypeHandle typeOwner)
   at System.Reflection.RuntimeMethodInfo.Invoke(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo cul..."
02-Nov-2010,1,Official,Official,POC_Detailed,Error,11/3/2010 2:06:44 AM,11/3/2010 2:56:48 AM,wongto,24,44,10,"Unable to calculate [ImpliedDetachmentPoint] for [CDOPricer] [System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation. ---> Quantifi.Numerics.SolverException: Cannot bracket a solution
   at Quantifi.Numerics.Solver.solve(SolverFn fn, Double yTarget)
   at Quantifi.Numerics.Solver.solve(SolverFn fn, Double yTarget, Double xInitial)
   at Quantifi.Pricers.SyntheticCDOSolver.Solve()
   at Quantifi.Risk.CDOPricerBase.get_ImpliedDetachmentPoint()
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle._InvokeMethodFast(Object target, Object[] arguments, SignatureStruct& sig, MethodAttributes methodAttributes, RuntimeTypeHandle typeOwner)
   at System.RuntimeMethodHandle.InvokeMethodFast(Object target, Object[] arguments, Signature sig, MethodAttributes methodAttributes, RuntimeTypeHandle typeOwner)
   at System.Reflection.RuntimeMethodInfo.Invoke(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo cul..."
