FromDate,ToDate,Status,Saved,MarketSet,QuoteType,Source,Name,Value
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,CADLIBOR.1 Weeks.Mid,0.00516
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,CADLIBOR.14-Dec-2009.Mid,0.00365
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,CADLIBOR.14-Jun-2010.Mid,0.00287
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,CADLIBOR.15-Mar-2010.Mid,0.00398
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,CADLIBOR.STUB.Mid,0.00287
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,EURLIBOR.1 Months.Mid,0.0047389
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,EURLIBOR.16-Dec-2009.Mid,0.0069641
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,EURLIBOR.16-Jun-2010.Mid,0.0071633
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,EURLIBOR.17-Mar-2010.Mid,0.008881
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,EURLIBOR.2 Days.Mid,0.0092777
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,EURLIBOR.2 Months.Mid,0.0083832
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,EURLIBOR.STUB.Mid,0.0071633
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,GBPLIBOR.1 Months.Mid,0.0043725
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,GBPLIBOR.16-Dec-2009.Mid,0.0062666
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,GBPLIBOR.16-Jun-2010.Mid,0.0079315
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,GBPLIBOR.17-Mar-2010.Mid,0.007652
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,GBPLIBOR.2 Days.Mid,0.0082905
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,GBPLIBOR.2 Months.Mid,0.0082402
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,GBPLIBOR.STUB.Mid,0.0079315
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,JPYLIBOR.13-May-2010.Mid,0.0042938
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,JPYLIBOR.14-May-2010.Mid,0.0043209
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,JPYLIBOR.STUB.Mid,0.0043317
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,USDLIBOR.16-Dec-2009.Mid,0.000776
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,USDLIBOR.16-Jun-2010.Mid,0.001812
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,USDLIBOR.17-Mar-2010.Mid,0.001768
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,USDLIBOR.2 Days.Mid,0.002623
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,USDLIBOR.2 Months.Mid,0.0112
07-Jun-2010,08-Jun-2010,Insert,True,Closing,MM Rate,Optex,USDLIBOR.STUB.Mid,0.001812
